,City Name,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
41,Marshall,34.38,-86.33,64.56,93,75,4.7,US,1603287862
42,Sitka,57.05,-135.33,33.8,59,1,3.36,US,1603287862
43,Bloomingdale,27.89,-82.24,75.33,83,40,5.82,US,1603287590
44,Bluff,-46.6,168.33,48.99,72,99,5.01,NZ,1603287863
45,Pinega,64.7,43.39,28.83,97,54,6.11,RU,1603287863
46,George Town,5.41,100.34,84.09,79,20,5.82,MY,1603287863
47,Ilulissat,69.22,-51.1,32.0,94,75,12.75,GL,1603287864
48,Loveland,40.4,-105.08,36.27,86,1,6.93,US,1603287864
49,Ushuaia,-54.8,-68.3,48.2,42,75,18.34,AR,1603287587
50,Thompson,55.74,-97.86,21.2,92,90,3.36,CA,1603287864
51,Along,28.17,94.77,67.89,87,0,2.1,IN,1603287865
52,Dikson,73.51,80.55,23.76,98,98,3.76,RU,1603287865
53,Huarmey,-10.07,-78.15,68.49,69,10,9.04,PE,1603287865
54,Khatanga,71.97,102.5,1.0,94,80,2.91,RU,1603287865
55,Korla,41.76,86.15,48.0,90,0,4.0,CN,1603287865
56,Acapulco de Juárez,16.86,-99.89,80.6,88,90,4.7,MX,1603287866
57,Castro,-24.79,-50.01,74.66,61,3,7.47,BR,1603287866
58,Namwala,-15.75,26.44,98.8,9,0,9.17,ZM,1603287866
59,Bethel,41.37,-73.41,60.96,100,90,4.7,US,1603287866
60,Shar,49.59,81.05,50.63,42,0,18.39,KZ,1603287866
61,Guerrero Negro,27.98,-114.06,68.59,87,95,9.42,MX,1603287808
62,Barrow,71.29,-156.79,33.8,86,90,16.11,US,1603287588
63,Eenhana,-17.47,16.33,105.8,7,34,10.29,NA,1603287867
64,Barcelos,41.54,-8.62,62.4,82,40,18.34,PT,1603287867
65,Saint George,37.1,-113.58,51.8,23,1,1.63,US,1603287868
66,Foz,43.57,-7.25,59.86,73,100,15.99,ES,1603287868
67,Hilo,19.73,-155.09,69.12,68,1,8.05,US,1603287868
68,Torbay,47.67,-52.73,57.18,87,75,12.75,CA,1603287868
69,Kolondiéba,11.09,-6.89,95.31,35,22,3.31,ML,1603287869
70,Port Alfred,-33.59,26.89,69.1,58,0,17.34,ZA,1603287824
71,Lethem,3.38,-59.8,90.3,49,59,11.59,GY,1603287869
72,Leningradskiy,69.38,178.42,35.98,82,100,10.04,RU,1603287869
73,Yeppoon,-23.13,150.73,71.08,83,92,10.36,AU,1603287636
74,Tiksi,71.69,128.87,9.68,93,99,6.38,RU,1603287870
75,Calama,-22.47,-68.93,64.4,13,40,8.05,CL,1603287870
76,Daşoguz,41.84,59.97,57.2,35,69,13.87,TM,1603287870
77,Laramie,41.31,-105.59,46.02,45,1,18.34,US,1603287831
78,Tevaitoa,-16.78,-151.5,78.8,77,39,13.02,PF,1603287871
79,Hermanus,-34.42,19.23,68.0,63,0,5.99,ZA,1603287871
80,Yellowknife,62.46,-114.35,18.77,92,75,6.93,CA,1603287839
81,Delījān,33.99,50.68,62.96,24,0,2.95,IR,1603287871
82,Saldanha,-33.01,17.94,78.8,34,0,14.99,ZA,1603287871
83,Thinadhoo,0.53,72.93,83.08,79,10,15.52,MV,1603287872
84,Lebu,-37.62,-73.65,52.81,67,0,15.23,CL,1603287779
85,Kavieng,-2.57,150.8,78.75,85,100,7.76,PG,1603287872
86,Rio Brilhante,-21.8,-54.55,89.87,41,45,5.79,BR,1603287872
87,Saint-Philippe,-21.36,55.77,74.86,65,51,17.22,RE,1603287575
88,Chongwe,-15.33,28.68,93.2,13,40,14.99,ZM,1603287873
89,Bambous Virieux,-20.34,57.76,77.0,69,75,12.75,MU,1603287873
90,Pangnirtung,66.15,-65.71,30.2,68,90,6.93,CA,1603287873
91,Shimoda,34.67,138.95,55.0,80,94,1.99,JP,1603287873
92,Nerchinskiy Zavod,51.31,119.61,24.19,84,1,8.05,RU,1603287873
93,Lüderitz,-26.65,15.16,79.7,24,0,21.52,NA,1603287622
94,Bereda,43.27,-7.54,61.3,73,82,15.99,ES,1603287874
95,Ukiah,39.15,-123.21,54.14,71,1,2.62,US,1603287714
96,Amuntai,-2.42,115.25,79.56,77,100,2.01,ID,1603287874
97,Verkhniy Baskunchak,48.23,46.72,47.46,52,70,11.63,RU,1603287875
98,Najrān,17.49,44.13,84.2,14,20,11.41,SA,1603287875
99,Constitución,-35.33,-72.42,59.67,55,0,6.98,CL,1603287875
100,Prainha,-1.8,-53.48,91.94,47,94,6.26,BR,1603287875
101,Parabel',58.7,81.48,40.6,93,100,3.02,RU,1603287876
102,Cape Town,-33.93,18.42,67.51,55,0,16.11,ZA,1603287610
103,Pacasmayo,-7.4,-79.57,66.25,76,49,8.84,PE,1603287876
104,Aklavik,68.22,-135.01,15.8,92,20,5.82,CA,1603287876
105,Nabire,-3.37,135.48,76.51,87,99,4.16,ID,1603287877
106,Brenham,30.17,-96.4,72.18,100,90,5.5,US,1603287877
107,Cabatuan,10.88,122.49,77.11,89,5,6.73,PH,1603287877
108,Diffa,13.32,12.61,100.18,8,0,15.79,NE,1603287878
109,Ibotirama,-12.19,-43.22,96.57,28,61,5.03,BR,1603287878
110,Ovalle,-30.6,-71.2,69.75,38,0,5.12,CL,1603287878
111,Saint Paul Harbor,57.79,-152.41,35.6,69,1,8.05,US,1603287878
112,Darque,41.68,-8.77,62.37,82,40,18.34,PT,1603287879
113,Grand Gaube,-20.01,57.66,77.0,69,26,8.01,MU,1603287879
114,Novoagansk,61.94,76.66,30.6,98,97,3.89,RU,1603287879
115,Saint-Joseph,-21.37,55.62,74.95,65,51,17.22,RE,1603287879
116,Petropavlovsk-Kamchatskiy,53.05,158.65,37.4,44,0,13.42,RU,1603287879
117,Kaitangata,-46.28,169.85,48.0,81,98,1.99,NZ,1603287880
118,Ponta do Sol,32.67,-17.1,71.6,56,40,6.93,PT,1603287880
119,Laguna,38.42,-121.42,55.63,71,1,3.36,US,1603287880
120,Hobart,-42.88,147.33,51.78,87,90,6.93,AU,1603287638
121,Kasongo-Lunda,-6.47,16.82,82.08,79,65,3.24,CD,1603287880
122,Denpasar,-8.65,115.22,80.6,83,20,8.05,ID,1603287745
123,Pingxiang,27.62,113.85,56.7,89,0,0.25,CN,1603287881
124,Tautira,-17.73,-149.15,73.4,83,51,11.86,PF,1603287881
125,Kapaa,22.08,-159.32,77.67,75,0,5.41,US,1603287881
126,Ozernovskiy,51.5,156.52,42.51,68,100,21.94,RU,1603287882
127,Halmstad,56.67,12.86,56.05,93,90,6.93,SE,1603287882
128,Longyearbyen,78.22,15.64,21.2,73,20,12.75,SJ,1603287882
129,Shelburne,44.08,-80.2,53.28,100,90,3.36,CA,1603287877
130,Kudahuvadhoo,2.67,72.89,82.98,78,89,13.18,MV,1603287585
131,Kilgore,32.39,-94.88,67.39,100,90,5.41,US,1603287632
132,San Fernando,15.03,120.69,77.54,90,100,6.8,PH,1603287883
133,Mulbāgal,13.17,78.4,69.39,96,100,6.24,IN,1603287883
134,Coahuayana Viejo,18.73,-103.68,73.4,83,5,2.59,MX,1603287884
135,Wewak,-3.55,143.63,79.97,77,100,5.19,PG,1603287884
136,Vila Velha,-20.33,-40.29,78.46,74,40,6.93,BR,1603287776
137,Avarua,-21.21,-159.78,73.4,88,99,5.82,CK,1603287884
138,Banjar,-8.19,114.97,80.6,83,20,8.05,ID,1603287885
139,Papetoai,-17.5,-149.87,73.4,83,38,12.86,PF,1603287885
140,Yangi Marg`ilon,40.43,71.72,64.4,31,0,1.5,UZ,1603287885
141,Chokurdakh,70.63,147.92,8.96,94,88,5.44,RU,1603287885
142,Pangody,65.85,74.49,23.02,98,88,8.97,RU,1603287885
143,Hue,16.47,107.6,71.6,88,40,8.05,VN,1603287886
144,Mianyang,31.46,104.75,61.09,64,99,3.4,CN,1603287886
145,Tomatlán,19.93,-105.25,76.19,88,43,3.31,MX,1603287886
146,Srednekolymsk,67.45,153.68,13.82,93,0,4.52,RU,1603287886
147,Bakel,14.9,-12.46,100.27,10,58,6.67,SN,1603287887
148,Swellendam,-34.02,20.44,69.8,52,0,9.17,ZA,1603287887
149,Bengkulu,-3.8,102.27,78.15,86,100,3.24,ID,1603287670
150,Bandrele,-12.91,45.19,84.2,66,17,10.29,YT,1603287887
151,Heinola,61.21,26.04,39.67,100,90,10.29,FI,1603287888
152,Hong Kong,22.29,114.16,73.36,63,100,3.0,HK,1603287882
153,Narsaq,60.92,-46.05,32.0,90,75,4.7,GL,1603287888
154,Kinablangan,7.69,126.55,80.62,80,100,7.49,PH,1603287888
155,Camacha,33.08,-16.33,68.0,72,20,14.99,PT,1603287889
156,Katsuura,35.13,140.3,62.15,72,75,13.87,JP,1603287889
157,Shingū,33.73,135.98,62.26,83,96,9.53,JP,1603287889
158,Douglas,41.3,-96.17,37.87,93,1,3.36,US,1603287889
159,Nouakchott,18.09,-15.98,102.2,13,7,13.87,MR,1603287746
160,Ahipara,-35.17,173.17,58.35,83,100,5.08,NZ,1603287890
161,Jambi City,-1.6,103.62,77.25,93,85,2.46,ID,1603287890
162,Grindavik,63.84,-22.43,39.2,86,90,19.46,IS,1603287657
163,Peniche,39.36,-9.38,68.32,73,17,15.99,PT,1603287890
164,São João da Barra,-21.64,-41.05,84.2,58,20,7.94,BR,1603287891
165,Caravelas,-17.71,-39.25,80.02,79,41,6.93,BR,1603287891
166,Dois Vizinhos,-25.73,-53.06,89.38,34,0,4.09,BR,1603287891
167,Vanimo,-2.67,141.3,75.92,85,100,5.19,PG,1603287892
168,Karasburg,-28.02,18.75,89.71,10,0,9.22,NA,1603287892
169,Mildura,-34.2,142.15,65.19,45,0,8.05,AU,1603287868
170,Itarema,-2.92,-39.92,89.19,49,6,16.78,BR,1603287892
171,Ajdabiya,30.76,20.23,74.62,46,31,14.85,LY,1603287892
172,Ambunti,-4.24,142.84,74.64,98,100,2.44,PG,1603287893
173,Provideniya,64.38,-173.3,35.58,92,38,0.74,RU,1603287893
174,Tobermory,45.25,-81.67,45.0,93,100,25.48,CA,1603287893
175,Mathbaria,22.29,89.96,77.68,93,100,6.87,BD,1603287893
176,Nemuro,43.32,145.57,56.44,77,100,22.3,JP,1603287710
177,Viedma,-40.81,-63.0,62.01,34,50,7.0,AR,1603287894
178,San Policarpo,12.18,125.51,81.18,86,100,9.78,PH,1603287894
179,Province of Mantua,45.17,10.78,66.0,68,66,3.0,IT,1603287895
180,Badou,7.58,0.6,87.15,61,28,0.63,TG,1603287895
181,Talnakh,69.49,88.4,12.2,85,100,11.18,RU,1603287895
182,Yalutorovsk,56.65,66.3,37.09,80,100,8.7,RU,1603287896
183,Port Hardy,50.7,-127.42,42.8,93,75,6.93,CA,1603287863
184,Tazovsky,67.47,78.7,20.93,98,100,11.97,RU,1603287896
185,Serebryansk,49.69,83.29,48.2,36,0,8.95,KZ,1603287896
186,Lac du Bonnet,50.25,-96.06,28.0,98,100,3.33,CA,1603287897
187,Horsham,51.06,-0.33,60.15,93,75,8.05,GB,1603287897
188,Santa Cruz,30.42,-9.6,77.0,69,75,12.75,MA,1603287897
189,Alofi,-19.06,-169.92,73.4,88,99,14.99,NU,1603287897
190,Eggenfelden,48.41,12.76,61.34,99,100,2.64,DE,1603287898
191,Muros,42.78,-9.06,61.45,82,66,13.0,ES,1603287898
192,Eureka,40.8,-124.16,48.36,100,16,1.01,US,1603287769
193,Kolvereid,64.87,11.6,39.25,65,75,6.93,NO,1603287899
194,Visnes,59.36,5.22,55.63,93,75,9.17,NO,1603287899
195,Esperance,-33.87,121.9,57.2,100,90,12.75,AU,1603287899
196,Alihe,50.57,123.72,28.38,89,100,11.32,CN,1603287875
197,Labuhan,-6.88,112.21,83.26,71,65,1.92,ID,1603287900
198,Vanavara,60.34,102.28,27.82,97,100,3.98,RU,1603287900
199,Marsh Harbour,26.54,-77.06,80.87,75,100,21.18,BS,1603287901
200,Narasannapeta,18.42,84.05,81.0,84,100,3.11,IN,1603287901
201,Kaeo,-35.1,173.78,54.0,92,100,3.2,NZ,1603287901
202,Ancud,-41.87,-73.82,52.39,61,0,9.17,CL,1603287901
203,Pasinler,39.98,41.68,59.0,41,40,3.36,TR,1603287902
204,Great Falls,47.5,-111.3,27.01,92,90,4.7,US,1603287718
205,Tignère,7.37,12.65,81.01,47,42,7.65,CM,1603287903
206,Usinsk,65.99,57.53,24.98,98,100,8.68,RU,1603287904
207,Grand-Santi,4.25,-54.38,92.25,44,2,5.41,GF,1603287904
208,Casablanca,33.59,-7.62,73.9,60,75,9.17,MA,1603287905
209,Hünfeld,50.68,9.77,64.63,51,3,5.99,DE,1603287905
210,Mineiros,-17.57,-52.55,82.33,52,69,5.3,BR,1603287673
211,Maţāy,28.42,30.78,95.4,13,0,10.92,EG,1603287906
212,Yar-Sale,66.83,70.83,22.14,98,96,10.45,RU,1603287614
213,Ulladulla,-35.35,150.47,58.37,100,75,4.76,AU,1603287907
214,Ronda,36.74,-5.17,69.39,100,100,3.0,ES,1603287907
215,Bahía Solano,6.23,-77.4,81.5,76,88,4.29,CO,1603287907
216,Berlevåg,70.86,29.09,32.0,87,75,2.24,NO,1603287908
217,Te Anau,-45.42,167.72,36.72,86,50,1.12,NZ,1603287908
218,Lagoa,39.05,-27.98,62.91,68,79,21.94,PT,1603287909
219,San Ramon,37.78,-121.98,58.48,58,1,1.83,US,1603287872
220,Goiatuba,-18.01,-49.35,81.48,55,100,6.53,BR,1603287909
221,Chimoré,-16.98,-65.13,90.32,48,3,4.5,BO,1603287910
222,Kulhudhuffushi,6.62,73.07,82.36,78,6,11.63,MV,1603287910
223,Bida,9.08,6.02,95.34,37,7,2.91,NG,1603287910
224,Faanui,-16.48,-151.75,77.92,78,0,13.38,PF,1603287911
225,Broome,42.25,-75.83,60.48,93,75,9.17,US,1603287613
226,Beya,53.05,90.91,42.06,73,65,4.0,RU,1603287912
227,Bathsheba,13.22,-59.52,87.8,66,40,11.41,BB,1603287912
228,Platonovka,52.71,41.95,39.22,71,100,9.01,RU,1603287913
229,Quatre Cocos,-20.21,57.76,77.0,69,75,12.75,MU,1603287914
230,Zverinogolovskoye,54.46,64.85,40.64,68,93,6.98,RU,1603287914
231,Cherskiy,68.75,161.3,16.09,97,84,2.53,RU,1603287914
232,Mahébourg,-20.41,57.7,77.0,69,75,12.75,MU,1603287915
233,Safford,32.83,-109.71,50.0,29,1,3.36,US,1603287915
234,Chui,-33.7,-53.46,62.83,63,31,15.23,UY,1603287915
235,Fort Nelson,58.81,-122.7,17.6,67,90,5.82,CA,1603287916
236,Naples,40.83,14.25,68.67,52,20,5.82,IT,1603287916
237,Ulkan,57.24,107.32,31.05,97,99,5.5,RU,1603287917
238,Jasper,37.2,-94.35,54.1,93,90,9.73,US,1603287902
239,Klyuchi,52.27,79.17,49.41,45,100,11.79,RU,1603287918
240,Lerwick,60.15,-1.15,48.2,93,75,29.97,GB,1603287918
241,Raja,8.46,25.68,84.4,65,82,0.92,SS,1603287919
242,Agüimes,27.91,-15.45,74.61,73,75,9.17,ES,1603287919
243,Valparaíso,-33.04,-71.63,52.84,100,90,3.36,CL,1603287755
244,Juneau,58.3,-134.42,29.14,68,1,8.12,US,1603287903
245,Riyadh,24.69,46.72,87.8,11,0,10.29,SA,1603287920
246,Izberbash,42.57,47.86,59.0,51,40,6.71,RU,1603287921
247,Cidreira,-30.18,-50.21,69.89,85,56,14.07,BR,1603287921
248,Rio Grande,-32.03,-52.1,62.01,95,99,5.01,BR,1603287726
249,Patan,27.67,85.33,69.8,77,20,4.7,NP,1603287922
250,Aasiaat,68.71,-52.87,27.52,96,93,4.36,GL,1603287922
251,Cabo San Lucas,22.89,-109.91,71.6,56,5,5.82,MX,1603287923
252,Haines Junction,60.75,-137.51,21.06,88,76,2.86,CA,1603287924
253,Nuristan,35.3,70.83,29.98,86,27,8.95,AF,1603287924
254,Celestún,20.87,-90.4,80.56,83,38,5.57,MX,1603287924
255,Mar del Plata,-38.0,-57.56,55.4,66,0,17.22,AR,1603287925
256,Astoria,46.19,-123.83,48.0,93,90,3.36,US,1603287925
257,Bira,49.0,132.47,43.07,90,100,1.95,RU,1603287926
258,Geraldton,-28.77,114.6,66.2,72,40,12.75,AU,1603287926
259,Narsīpatnam,17.67,82.62,84.2,89,90,2.24,IN,1603287927
260,Gamba,-2.65,10.0,80.58,76,44,11.68,GA,1603287927
261,Kumul,42.8,93.45,54.91,34,0,6.24,CN,1603287928
262,Cayenne,4.93,-52.33,89.6,59,24,11.41,GF,1603287928
263,Norman Wells,65.28,-126.83,23.0,85,90,18.34,CA,1603287688
264,Kavaratti,10.57,72.64,81.43,75,98,13.11,IN,1603287929
265,Tobane,-21.95,27.9,80.6,51,20,12.75,BW,1603287930
266,Kurchum,48.57,83.65,51.67,40,0,12.1,KZ,1603287930
267,Antofagasta,-23.65,-70.4,59.0,82,75,10.29,CL,1603287844
268,Katy,29.79,-95.82,72.79,100,90,4.7,US,1603287874
269,Luangwa,-15.62,30.42,98.31,19,0,15.08,ZM,1603287931
270,Iqaluit,63.75,-68.51,32.0,93,90,5.82,CA,1603287931
271,Orosháza,46.57,20.67,64.0,47,87,4.0,HU,1603287932
272,Avesta,60.15,16.17,50.0,95,94,1.99,SE,1603287932
273,Sinnamary,5.38,-52.95,86.99,64,10,11.21,GF,1603287932
274,Dourbali,11.81,15.86,100.72,9,0,12.75,TD,1603287933
275,Zhigansk,66.77,123.37,16.27,97,85,1.3,RU,1603287436
276,Araouane,18.9,-3.53,95.76,13,0,10.63,ML,1603287650
277,Porto-Novo,6.5,2.6,86.0,79,20,14.99,BJ,1603287934
278,Bandarbeyla,9.49,50.81,82.4,68,0,10.33,SO,1603287934
279,Mendi,-6.18,143.65,53.2,99,100,2.21,PG,1603287935
280,Neuquén,-38.95,-68.06,60.8,41,92,17.22,AR,1603287935
281,Pitimbu,-7.47,-34.81,84.2,74,75,16.11,BR,1603287936
282,Cockburn Town,21.46,-71.14,77.0,88,40,10.29,TC,1603287936
283,Port Elizabeth,-33.92,25.57,69.8,56,0,14.99,ZA,1603287937
284,Peso da Régua Municipality,41.16,-7.79,64.99,7,73,10.29,PT,1603287937
285,Lompoc,34.64,-120.46,53.53,100,90,2.04,US,1603287804
286,Prince Rupert,54.32,-130.32,35.6,100,40,6.93,CA,1603287828
287,Cedral,23.8,-100.73,60.4,77,16,6.96,MX,1603287938
288,Hualmay,-11.1,-77.61,69.4,65,3,8.63,PE,1603287939
289,Ygatimi,-24.08,-55.5,94.84,33,0,4.41,PY,1603287939
290,Mehamn,71.04,27.85,32.0,91,75,2.24,NO,1603287939
291,Huangcun,30.01,118.4,53.49,87,25,3.44,CN,1603287940
292,Trat,12.5,102.5,76.12,87,100,5.5,TH,1603287940
293,Verkhnyaya Inta,65.98,60.31,21.51,98,100,5.14,RU,1603287940
294,Aksarka,66.56,67.8,21.9,98,99,10.87,RU,1603287940
295,Port Hawkesbury,45.62,-61.35,51.33,100,90,3.4,CA,1603287941
296,Frontera,26.93,-101.45,73.99,67,7,3.0,MX,1603287942
297,Carnarvon,-24.87,113.63,68.0,64,0,24.16,AU,1603287942
298,San Cristobal,7.77,-72.22,77.0,88,40,2.24,VE,1603287692
299,Puerto Maldonado,-12.6,-69.18,77.0,94,75,3.36,PE,1603287943
300,Souillac,-20.52,57.52,77.0,69,75,12.75,MU,1603287943
301,Kruisfontein,-34.0,24.73,73.0,47,0,7.0,ZA,1603287944
302,Necochea,-38.55,-58.74,55.0,77,0,7.0,AR,1603287944
303,Umluj,25.02,37.27,89.56,39,0,9.73,SA,1603287944
304,Savalou,7.93,1.98,91.35,50,1,3.71,BJ,1603287945
305,Baykit,61.67,96.37,29.79,96,100,6.26,RU,1603287945
306,Salym,60.06,71.48,34.07,91,100,3.89,RU,1603287946
307,Moose Factory,51.26,-80.61,32.0,98,90,6.93,CA,1603287717
308,Lata,40.16,-8.33,64.4,78,33,1.99,PT,1603287946
309,Port Blair,11.67,92.75,81.21,82,79,10.92,IN,1603287947
310,Jumla,29.27,82.18,48.24,53,0,4.43,NP,1603287947
311,Zaraza,9.35,-65.32,83.16,78,100,6.06,VE,1603287947
312,Chapais,49.78,-74.85,32.0,99,90,14.99,CA,1603287948
313,Honiara,-9.43,159.95,75.2,94,20,2.24,SB,1603287948
314,Bartlesville,36.75,-95.98,54.55,93,90,4.7,US,1603287701
315,Cayambe,0.05,-78.13,53.6,100,40,2.24,EC,1603287949
316,Jalu,29.03,21.55,79.74,27,0,11.74,LY,1603287813
317,Kholmogory,64.22,41.66,35.6,98,20,4.47,RU,1603287949
318,Luocheng,29.38,104.03,59.4,75,26,1.66,CN,1603287783
319,Teguise,29.06,-13.56,78.8,65,20,14.99,ES,1603287950
320,Alta Floresta,-9.88,-56.09,96.89,34,98,4.97,BR,1603287665
321,Kerema,-7.96,145.78,77.99,87,100,6.2,PG,1603287950
322,North Myrtle Beach,33.82,-78.68,70.32,94,90,6.93,US,1603287951
323,Paignton,50.44,-3.57,57.76,98,100,7.0,GB,1603287951
324,Pundaguitan,6.37,126.17,83.19,80,99,12.39,PH,1603287951
325,Saint Anthony,45.02,-93.22,34.68,74,1,10.29,US,1603287947
326,Codrington,-38.27,141.97,47.39,87,14,5.08,AU,1603287720
327,Nieuwpoort,51.12,2.77,64.89,82,75,27.51,BE,1603287952
328,Salme,28.04,85.09,69.8,77,20,4.7,NP,1603287952
329,Fortuna,40.6,-124.16,50.09,93,90,5.82,US,1603287953
330,Husavik,66.04,-17.34,33.8,80,75,3.36,IS,1603287953
331,Nanortalik,60.14,-45.24,33.67,89,100,9.37,GL,1603287953
332,Batemans Bay,-35.72,150.18,57.02,93,87,1.01,AU,1603287954
333,Ribeira Grande,38.52,-28.7,68.0,56,40,10.29,PT,1603287954
334,Evensk,61.95,159.23,30.87,89,0,6.96,RU,1603287954
335,Road Town,18.42,-64.62,84.07,74,20,3.36,VG,1603287955
336,Haifa,32.82,34.99,80.33,65,20,17.22,IL,1603287955
337,Biankouma,7.74,-7.61,86.74,45,100,5.57,CI,1603287956
338,Afonso Cláudio,-20.07,-41.12,78.94,68,71,4.43,BR,1603287956
339,Mmabatho,-25.85,25.63,87.8,25,20,18.34,ZA,1603287956
340,Elban,50.1,136.51,43.2,79,100,0.83,RU,1603287956
341,Fairbanks,64.84,-147.72,21.65,85,90,3.36,US,1603287957
342,Ranong,9.97,98.63,78.8,88,40,3.36,TH,1603287957
343,Puqi,29.72,113.88,58.57,73,56,1.83,CN,1603287957
344,San Vicente,-26.62,-54.13,87.98,37,0,4.21,AR,1603287957
345,Isangel,-19.55,169.27,74.21,82,57,7.25,VU,1603287722
346,Bariloche,-41.15,-71.31,55.4,54,75,12.75,AR,1603287958
347,Namatanai,-3.67,152.43,79.48,79,75,4.72,PG,1603287958
348,Gaoyou,32.79,119.43,64.36,77,100,7.74,CN,1603287959
349,Millinocket,45.66,-68.71,40.55,75,90,5.82,US,1603287960
350,Raudeberg,61.99,5.14,44.01,93,100,15.52,NO,1603287960
351,Siavonga,-16.54,28.71,97.72,23,0,7.67,ZM,1603287960
352,Port Macquarie,-31.43,152.92,57.99,89,70,6.44,AU,1603287960
353,Alūksne,57.42,27.05,42.75,95,100,5.14,LV,1603287961
354,Takoradze,4.88,-1.76,81.86,81,50,12.3,GH,1603287961
355,Kenai,60.55,-151.26,23.95,92,1,3.36,US,1603287962
356,Topeka,39.05,-95.68,42.49,100,90,9.44,US,1603287833
357,Piaçabuçu,-10.41,-36.43,84.18,61,1,12.39,BR,1603287812
358,Muzhi,65.37,64.67,16.27,96,93,4.43,RU,1603287962
359,Lantawan,10.62,123.98,75.85,87,1,6.08,PH,1603287963
360,Neftçala,39.37,49.25,63.05,63,100,10.27,AZ,1603287963
361,Khovd,48.01,91.64,32.05,85,0,1.48,MN,1603287963
362,Ust-Maya,60.42,134.53,20.95,97,100,4.18,RU,1603287964
363,Beyneu,45.32,55.2,50.14,48,13,15.39,KZ,1603287965
364,Lavrentiya,65.58,-171.0,36.09,84,0,6.08,RU,1603287965
365,Tommot,58.96,126.29,14.0,94,20,2.8,RU,1603287966
366,Pisco,-13.7,-76.22,64.24,77,40,3.36,PE,1603287816
367,Prospect,-34.88,138.59,59.81,67,49,6.93,AU,1603287882
368,Rafai,4.95,23.92,80.1,72,89,3.58,CF,1603287966
369,Gangtok,27.33,88.62,58.5,68,0,4.32,IN,1603287967
370,Klaeng,12.78,101.65,76.66,87,99,5.57,TH,1603287967
371,Nyurba,63.28,118.33,18.97,98,100,4.03,RU,1603287968
372,Beringovskiy,63.05,179.32,38.93,85,10,10.29,RU,1603287739
373,Ingolstadt,48.77,11.43,59.11,63,75,2.24,DE,1603287968
